,time,b,imp radius,mass prim,x prim,y prim,z prim,vx prim,vy prim,vz prim,mass sec,x sec,y sec,z sec,vx sec,vy sec,vz sec,mass imp,x imp,y imp,z imp,vx imp,vy imp,vz imp,mass sun,x sun,y sun,z sun,vx sun,vy sun,vz sun
0,0.0,1.8,1050.0,9.2027720799157e+18,-43120131.708568804,0.0,-0.0,0.0,4490.622063648102,0.0,2.1446605848506322e+18,185029158.91352665,0.0,0.0,0.0,4492.366206564103,-0.0,4.849048260815846e+21,1368851820.8164062,760497633.715792,0.0,-0.5187003251004476,4490.484772634927,0.0,1.9891e+30,-6582400000000.0,0.0,0.0,0.0,0.0,0.0
1,9218500.11263123,1.8,1050.0,9.2027720799157e+18,-168475001.11560538,41399074349.7673,0.0,-27.194200516827784,4491.087509925316,0.0,2.1446605848506322e+18,60246479.554413535,41416360133.698906,0.0,-27.064565372542972,4493.09260568532,0.0,4.849048260815846e+21,1233921584.3120656,42155737742.20423,0.0,-28.755004502706324,4490.391338356019,0.0,1.9891e+30,-6582399999999.682,0.0007031071483303974,0.0,6.898974812736387e-08,2.2483839528890612e-10,0.0
2,18437000.22526246,1.8,1050.0,9.2027720799157e+18,-544436524.758861,82801677792.05804,0.0,-54.36782252365112,4491.389076362736,0.0,2.1446605848506322e+18,-313768897.56871235,82838637801.96376,0.0,-54.06663497423965,4493.652637492609,0.0,4.849048260815846e+21,838699092.7797172,83549298173.30309,0.0,-56.99023609816142,4490.120355640282,0.0,1.9891e+30,-6582399999998.729,0.005478240935579645,0.0,1.379767189111218e-07,8.83443765117289e-10,0.0
3,27655500.337893687,1.8,1050.0,9.2027720799157e+18,-1170741533.150422,124206338438.73846,0.0,-81.50456236734226,4491.535351495492,0.0,2.1446605848506322e+18,-936272238.3099897,124265377588.63167,0.0,-80.9681479336663,4494.064074205359,0.0,4.849048260815846e+21,183199176.35869336,124939542132.2377,0.0,-85.22332415974267,4489.671811007781,0.0,1.9891e+30,-6582399999997.138,0.018323975430383315,0.0,2.0695818510626614e-07,1.9757900731542514e-09,0.0
4,36874000.45052492,1.8,1050.0,9.2027720799157e+18,-2046963766.8131826,165611669375.08685,0.0,-108.58502457023249,4491.53633972708,0.0,2.1446605848506322e+18,-1806118802.345147,165695314353.83456,0.0,-107.71935600798676,4494.3509396019335,0.0,4.849048260815846e+21,-732553508.6378784,166324832709.6866,0.0,-113.45320886195913,4489.045692560273,0.0,1.9891e+30,-6582399999994.912,0.043238565649664676,0.0,2.7593141968539267e-07,3.5018341360835177e-09,0.0
5,46092500.56315615,1.8,1050.0,9.2027720799157e+18,-3172475418.4054894,207016386921.9503,0.0,-135.5844126796177,4491.404695126452,0.0,2.1446605848506322e+18,-2921619589.158636,207127447623.419,0.0,-134.24983050439724,4494.54748920578,0.0,4.849048260815846e+21,-1908524617.5384667,207703532879.05905,0.0,-141.67884990970234,4488.241985878563,0.0,1.9891e+30,-6582399999992.051,0.08421978949648734,0.0,3.4489369594651037e-07,5.46151562530868e-09,0.0
6,55311000.675787374,1.8,1050.0,9.2027720799157e+18,-4546382230.891514,248419343732.41467,0.0,-162.46896694108915,4491.1577805328425,0.0,2.1446605848506322e+18,-4280272761.779905,248561166752.0427,0.0,-160.44890268660066,4494.705863722485,0.0,4.849048260815846e+21,-3344670360.708725,249074005443.1547,0.0,-169.89924199414344,4487.2606667286545,0.0,1.9891e+30,-6582399999988.554,0.1452647897167509,0.0,4.1384228762083935e-07,7.854757069335973e-09,0.0
7,64529500.788418606,1.8,1050.0,9.2027720799157e+18,-6167415480.246282,289819587044.5988,0.0,-189.1898528894003,4490.82123139551,0.0,2.1446605848506322e+18,-5878208062.027625,289996486107.3118,0.0,-186.11822926066543,4494.9140937754055,0.0,4.849048260815846e+21,-5040937956.120936,290434612884.41,0.0,-198.11344741505806,4486.1016863336345,0.0,1.9891e+30,-6582399999984.421,0.2303699158809739,0.0,4.827744689805929e-07,1.0681463856834247e-08,0.0
8,73748000.90104984,1.8,1050.0,9.2027720799157e+18,-8033744980.845866,331216462463.22107,0.0,-215.67134409805325,4490.435698953428,0.0,2.1446605848506322e+18,-7708868041.840259,331434565513.0951,0.0,-210.83506856952891,4495.346426866571,0.0,4.849048260815846e+21,-6997266569.76286,331783717002.55865,0.0,-226.32067902328163,4484.764936315735,0.0,1.9891e+30,-6582399999979.652,0.34353056639740415,0.0,5.516875149467402e-07,1.3941524240371535e-08,0.0
9,82966501.01368107,1.8,1050.0,9.2027720799157e+18,-10142628501.8941,372609810156.2792,0.0,-241.78493825538112,4490.071388976859,0.0,2.1446605848506322e+18,-9759076592.662674,372879152787.8998,0.0,-233.41267623460928,4496.447150240057,0.0,4.849048260815846e+21,-9213589722.480055,373119677969.0585,0.0,-254.52058804757468,4483.250139800091,0.0,1.9891e+30,-6582399999974.249,0.48874103056268925,0.0,6.205787011967478e-07,1.763480934082697e-08,0.0
